State,County,FIPS_code,count,avg_site_score,sum_site_score
OR,Clackamas,41005.0,1.0,51.09,51.09
MS,Pearl River,28109.0,1.0,51.03,51.03
OK,McClain,40087.0,1.0,51.01,51.01
MI,Ogemaw,26129.0,1.0,50.92,50.92
LA,Winn Parish,22127.0,1.0,50.7,50.7
IL,McHenry,17111.0,1.0,50.1,50.1
VA,King George,51099.0,1.0,50.03,50.03
AK,Prince of Wales-Hyder Census Area,2201.0,1.0,50.0,50.0
AR,Clark,5019.0,1.0,50.0,50.0
AR,Ouachita,5103.0,1.0,50.0,50.0
CA,Alpine,6003.0,1.0,50.0,50.0
CA,San Luis Obispo,6079.0,1.0,50.0,50.0
CO,Gunnison,8051.0,1.0,50.0,50.0
CO,Pueblo,8101.0,1.0,50.0,50.0
CO,Rio Grande,8105.0,1.0,50.0,50.0
CO,San Juan,8111.0,1.0,50.0,50.0
FL,Bay,12005.0,1.0,50.0,50.0
FL,Palm Beach,12099.0,1.0,50.0,50.0
FL,Pasco,12101.0,1.0,50.0,50.0
FL,Pinellas,12103.0,1.0,50.0,50.0
FL,Polk,12105.0,1.0,50.0,50.0
FL,Santa Rosa,12113.0,1.0,50.0,50.0
GA,Mitchell,13205.0,1.0,50.0,50.0
IA,Cass,19029.0,1.0,50.0,50.0
IL,Vermilion,17183.0,1.0,50.0,50.0
IN,Bartholomew,18005.0,1.0,50.0,50.0
IN,Morgan,18109.0,1.0,50.0,50.0
KS,Allen,20001.0,1.0,50.0,50.0
KS,Barton,20009.0,1.0,50.0,50.0
KS,Ford,20057.0,1.0,50.0,50.0
KS,Sedgwick,20173.0,1.0,50.0,50.0
KS,Thomas,20193.0,1.0,50.0,50.0
KY,Harlan,21095.0,1.0,50.0,50.0
LA,Orleans Parish,22071.0,1.0,50.0,50.0
LA,Union Parish,22111.0,1.0,50.0,50.0
LA,Washington Parish,22117.0,1.0,50.0,50.0
MD,Baltimore,24005.0,1.0,50.0,50.0
MD,Charles,24017.0,1.0,50.0,50.0
MD,St. Mary's,24037.0,1.0,50.0,50.0
MD,Washington,24043.0,1.0,50.0,50.0
ME,Hancock,23009.0,1.0,50.0,50.0
ME,Washington,23029.0,1.0,50.0,50.0
MI,Wayne,26163.0,1.0,50.0,50.0
MO,Maries,29125.0,1.0,50.0,50.0
NC,Ashe,37009.0,1.0,50.0,50.0
NC,Person,37145.0,1.0,50.0,50.0
NE,Butler,31023.0,1.0,50.0,50.0
NE,Douglas,31055.0,1.0,50.0,50.0
NE,Keith,31101.0,1.0,50.0,50.0
NH,Cheshire,33005.0,1.0,50.0,50.0
NM,Doña Ana,35013.0,1.0,50.0,50.0
NM,Rio Arriba,35039.0,1.0,50.0,50.0
NM,Socorro,35053.0,1.0,50.0,50.0
NM,Taos,35055.0,1.0,50.0,50.0
NY,Cayuga,36011.0,1.0,50.0,50.0
NY,Onondaga,36067.0,1.0,50.0,50.0
NY,Queens,36081.0,1.0,50.0,50.0
OH,Clermont,39025.0,1.0,50.0,50.0
OH,Summit,39153.0,1.0,50.0,50.0
OH,Warren,39165.0,1.0,50.0,50.0
OK,Creek,40037.0,1.0,50.0,50.0
OK,Tulsa,40143.0,1.0,50.0,50.0
OR,Lake,41037.0,1.0,50.0,50.0
PA,Cumberland,42041.0,1.0,50.0,50.0
PR,Bayamón Municipio,72021.0,1.0,50.0,50.0
PR,Cabo Rojo Municipio,72023.0,1.0,50.0,50.0
PR,Dorado Municipio,72051.0,1.0,50.0,50.0
PR,Maunabo Municipio,72095.0,1.0,50.0,50.0
PR,Naranjito Municipio,72105.0,1.0,50.0,50.0
PR,San Germán Municipio,72125.0,1.0,50.0,50.0
SC,Chesterfield,45025.0,1.0,50.0,50.0
SC,McCormick,45065.0,1.0,50.0,50.0
SD,Lawrence,46081.0,1.0,50.0,50.0
TN,Crockett,47033.0,1.0,50.0,50.0
TN,Knox,47093.0,1.0,50.0,50.0
TX,Brazoria,48039.0,1.0,50.0,50.0
TX,Burnet,48053.0,1.0,50.0,50.0
TX,Calhoun,48057.0,1.0,50.0,50.0
TX,Dallas,48113.0,1.0,50.0,50.0
TX,Hidalgo,48215.0,1.0,50.0,50.0
TX,Jefferson,48245.0,1.0,50.0,50.0
TX,Nueces,48355.0,1.0,50.0,50.0
TX,Ochiltree,48357.0,1.0,50.0,50.0
TX,Parker,48367.0,1.0,50.0,50.0
TX,San Patricio,48409.0,1.0,50.0,50.0
TX,Winkler,48495.0,1.0,50.0,50.0
UT,Juab,49023.0,1.0,50.0,50.0
VA,Alleghany,51005.0,1.0,50.0,50.0
VA,Chesapeake city,51550.0,1.0,50.0,50.0
VA,Hampton city,51650.0,1.0,50.0,50.0
